canonical_id,name,uberon,fma,ta2,system,laterality,scope
HRA:Allen_middle_cerebellar_peduncle_L|left,middle cerebellar peduncle (left),,,,nervous,left,direct-source-geometry
UBERON:0002422,fourth ventricle,UBERON:0002422,,,nervous,unspecified,direct-source-geometry
HRA:Allen_central_canal_of_medulla_oblongata_L|left,central canal of medulla oblongata (left),,,,nervous,left,direct-source-geometry
HRA:Allen_midline_nuclear_complex_L|left,midline nuclear complex (left),,,,sensory,left,direct-source-geometry
HRA:Allen_lateral_olfactory_gyrus_L|left,lateral olfactory gyrus (left),,,,nervous,left,direct-source-geometry
UBERON:0002911,parietal operculum,UBERON:0002911,,,nervous,unspecified,direct-source-geometry
UBERON:0022264,optic radiation,UBERON:0022264,,,sensory,unspecified,direct-source-geometry
HRA:Allen_posteroventral_putamen_L|left,posteroventral putamen (left),,,,nervous,left,direct-source-geometry
HRA:Allen_atrium_of_lateral_ventricle_L|left,atrium of lateral ventricle (left),,,,nervous,left,direct-source-geometry
HRA:Allen_paracingulate_gyrus_L|left,paracingulate gyrus (left),,,,nervous,left,direct-source-geometry
HRA:Allen_rostral_gyrus_L|left,rostral gyrus (left),,,,nervous,left,direct-source-geometry
HRA:Allen_frontomarginal_gyrus_L|left,frontomarginal gyrus (left),,,,nervous,left,direct-source-geometry
HRA:Allen_frontal_pole_L|left,frontal pole (left),,,,nervous,left,direct-source-geometry
HRA:Allen_inferior_cerebellar_peduncle_L|left,inferior cerebellar peduncle (left),,,,nervous,left,direct-source-geometry
HRA:Allen_perirhinal_gyrus_rostral_part_of_FuGt_L|left,perirhinal gyrus rostral part of FuGt (left),,,,nervous,left,direct-source-geometry
HRA:Allen_olfactory_bulb_R|right,olfactory bulb (right),,,,nervous,right,direct-source-geometry
HRA:Allen_anterior_olfactory_nucleus_R|right,anterior olfactory nucleus (right),,,,nervous,right,direct-source-geometry
HRA:Allen_piriform_region_R|right,piriform region (right),,,,nervous,right,direct-source-geometry
HRA:Allen_frontal_agranular_insular_cortex_area_Fl_R|right,frontal agranular insular cortex area Fl (right),,,,nervous,right,direct-source-geometry
